iter	Passed	Remaining
0	1	1289
1	2	1206
2	3	1096
3	4	1050
4	5	1000
5	5	944
6	6	900
7	7	876
8	7	856
9	8	837
10	9	826
11	9	811
12	10	797
13	11	788
14	11	782
15	12	777
16	13	780
17	14	810
18	15	819
19	16	825
20	18	841
21	18	836
22	19	830
23	20	823
24	20	815
25	21	809
26	22	802
27	22	796
28	23	790
29	24	785
30	25	782
31	25	779
32	26	776
33	27	773
34	27	770
35	28	766
36	29	773
37	31	785
38	32	790
39	33	793
40	33	793
41	34	791
42	35	787
43	36	784
44	36	780
45	37	778
46	38	776
47	38	772
48	39	770
49	40	768
50	41	766
51	42	767
52	42	765
53	43	763
54	44	768
55	45	774
56	46	774
57	47	778
58	48	777
59	49	775
60	50	772
61	50	768
62	51	766
63	52	764
64	53	763
65	53	760
66	54	758
67	55	756
68	55	753
69	56	750
70	57	747
71	57	743
72	58	740
73	58	737
74	60	745
75	61	747
76	62	751
77	63	748
78	63	745
79	64	742
80	65	738
81	65	735
82	66	729
83	66	726
84	67	723
85	67	720
86	68	717
87	68	714
88	69	711
89	70	709
90	70	709
91	71	708
92	72	706
93	73	704
94	73	701
95	74	706
96	75	706
97	76	706
98	77	707
99	78	706
100	79	704
101	79	702
102	80	699
103	80	696
104	81	694
105	82	691
106	82	689
107	83	687
108	83	684
109	84	682
110	84	679
111	85	677
112	86	675
113	86	673
114	87	671
115	87	669
116	88	665
117	89	668
118	90	669
119	91	670
120	92	671
121	93	671
122	93	669
123	94	667
124	95	666
125	95	664
126	96	661
127	96	659
128	97	657
129	98	655
130	98	654
131	99	652
132	99	650
133	100	648
134	100	646
135	101	644
136	102	642
137	102	641
138	104	648
139	105	649
140	106	650
141	107	649
142	108	648
143	108	646
144	109	645
145	110	643
146	110	642
147	111	640
148	111	639
149	112	637
150	113	635
151	113	634
152	114	632
153	114	630
154	115	628
155	115	627
156	116	625
157	117	623
158	117	623
159	118	623
160	119	623
161	120	625
162	121	625
163	122	625
164	123	625
165	124	625
166	125	624
167	125	622
168	126	621
169	126	619
170	127	618
171	128	617
172	128	615
173	129	614
174	129	612
175	130	611
176	131	609
177	131	608
178	132	607
179	132	605
180	133	605
181	135	607
182	136	607
183	137	610
184	138	610
185	139	609
186	139	607
187	140	606
188	140	604
189	141	603
190	142	601
191	142	600
192	143	599
193	143	597
194	144	596
195	145	595
196	145	593
197	146	592
198	146	590
199	147	589
200	147	587
201	148	587
202	149	588
203	151	589
204	152	590
205	153	589
206	153	588
207	154	587
208	154	585
209	155	584
210	156	583
211	156	582
212	157	580
213	157	579
214	158	578
215	158	576
216	159	575
217	159	573
218	160	572
219	161	571
220	161	569
221	162	568
222	162	567
223	163	567
224	165	568
225	165	568
226	166	567
227	167	568
228	168	568
229	169	567
230	169	565
231	170	564
232	171	563
233	171	562
234	172	560
235	172	559
236	173	558
237	173	556
238	174	555
239	175	554
240	175	553
241	176	552
242	176	550
243	177	549
244	178	548
245	178	548
246	180	549
247	181	549
248	182	549
249	182	548
250	183	547
251	184	546
252	184	545
253	185	544
254	185	543
255	186	541
256	187	540
257	187	539
258	188	538
259	188	537
260	189	536
261	189	535
262	190	533
263	191	532
264	191	531
265	192	530
266	192	529
267	193	529
268	195	530
269	196	529
270	197	529
271	197	529
272	198	528
273	199	527
274	199	526
275	200	525
276	200	524
